year,month,site_id,market,registrations,ftds,active_players,deposit_count,unique_depositors,sports_active_players,casino_active_players,live_casino_active_players,turnover_eur,winnings_eur,ggr_eur,withdrawal_adjustments_eur,deposit_adjustments_eur,bonus_withdrawn_eur,bonus_issued_eur,cashback_eur,goodwill_amount_eur,ngr_eur,deposits_eur,ftd_amount_eur,reload_amount_eur,withdrawals_eur,net_deposits_eur,sports_turnover_eur,sports_winnings_eur,sports_ggr_eur,sports_bonus_issued_eur,sports_bonus_withdrawn_eur,sports_ngr_eur,casino_turnover_eur,casino_winnings_eur,casino_ggr_eur,casino_bonus_issued_eur,casino_bonus_withdrawn_eur,casino_ngr_eur,live_casino_turnover_eur,live_casino_winnings_eur,live_casino_ggr_eur,live_casino_ngr_eur,vip_bonus_eur,total_bonus_eur,ggr_discrepancy,ggr_calculated,ggr_consistent
2023,3,1,CA,237,59,145,792,122,82,95,12,440428,404052,36376,0,1514,9819,12550,1557,66,25262,68831,8251,60579,48229,20601,103686,88657,15029,1380,2220,12809,220702,201263,19440,11016,7599,10218,115340,112869,2471,2471,236,11677,0,36376,True
2023,3,1,CH,0,0,0,23,0,0,0,0,7241,6643,598,0,0,0,86,0,0,866,1900,0,1900,1050,850,7241,6376,866,86,0,866,0,0,0,0,0,0,0,0,0,0,0,0,0,598,True
2023,3,1,CL,338,70,117,413,97,71,55,8,81692,74220,7472,0,209,810,1542,336,0,7171,15702,1699,14003,8300,7402,27841,24000,3841,838,133,3708,43053,38991,4062,689,676,3050,10751,10288,463,463,51,1196,0,7472,True
2023,3,1,DE,0,0,0,0,0,0,0,0,0,0,0,0,543,0,0,0,0,0,0,0,0,543,-543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,3,1,FI,364,291,1239,10533,1075,535,959,128,5086152,4854144,232008,509,12444,34147,33714,25586,764,176398,697523,16047,681476,526977,170546,920282,849217,71065,10883,15233,55832,3169879,3010869,159010,22609,18450,114210,964908,953102,11806,11806,4986,65483,0,232008,True
2023,3,1,HU,3,1,1,1,1,1,0,0,73,70,3,0,0,0,9,0,0,3,18,14,4,0,18,27,33,-6,0,0,-6,46,37,9,9,0,9,0,0,0,0,0,0,0,3,True
2023,3,1,IE,0,0,0,7,0,0,0,0,29856,27626,2230,0,61,595,508,0,0,1574,3465,0,3465,1891,1574,5263,3887,1376,438,595,781,24593,23739,854,70,0,854,0,0,0,0,61,656,0,2230,True
2023,3,1,IN,10,1,1,3,1,0,0,1,1139,1108,31,0,0,0,5,0,0,31,413,8,405,382,31,48,76,-28,5,0,-28,16,9,7,0,0,7,426,373,52,52,0,0,0,31,True
2023,3,1,MC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,3,1,MK,1,0,0,1,0,0,0,0,84,172,-88,0,0,0,0,0,0,-88,18,0,18,105,-88,0,0,0,0,0,0,84,172,-88,0,0,-88,0,0,0,0,0,0,0,-88,True
2023,3,1,MT,4,1,4,24,3,1,2,1,6497,7651,-1154,0,35,0,114,2,0,-1192,1246,46,1200,2415,-1169,321,237,84,0,0,84,3411,4891,-1480,51,0,-1482,2751,2510,241,241,35,37,0,-1154,True
2023,3,1,MX,2,0,0,0,0,0,0,0,37,27,10,0,0,0,0,0,0,11,11,11,0,0,11,0,0,0,0,0,0,37,27,11,0,0,11,0,0,0,0,0,0,0,10,True
2023,3,1,NG,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,3,1,NL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
2023,3,1,NO,213,110,444,4515,355,259,260,74,3440624,3260655,179969,255,9102,18015,20099,9889,101,147349,337654,7503,330151,189484,148170,809166,723542,85624,12739,13937,71687,1983010,1903612,79398,7236,4078,65329,638485,619616,18870,18870,8537,36542,0,179969,True
2023,3,1,NZ,14,6,12,92,11,1,10,2,29013,27302,1711,0,148,0,212,0,10,1562,4121,229,3892,2421,1700,1471,1167,304,0,0,304,15581,16175,-593,212,0,-603,11960,9960,2000,2000,138,148,0,1711,True
2023,3,1,PE,62,11,30,106,22,24,10,2,82781,77873,4908,0,179,552,232,86,92,4185,6395,428,5967,2220,4174,3248,3518,-269,178,547,-816,1647,1430,217,30,5,34,77628,72661,4967,4967,0,730,0,4908,True
