"year","month","site_id","market","registrations","ftds","active_players","deposit_count","unique_depositors","sports_active_players","casino_active_players","live_casino_active_players","turnover_eur","winnings_eur","ggr_eur","withdrawal_adjustments_eur","deposit_adjustments_eur","bonus_withdrawn_eur","bonus_issued_eur","cashback_eur","goodwill_amount_eur","ngr_eur","deposits_eur","ftd_amount_eur","reload_amount_eur","withdrawals_eur","net_deposits_eur","sports_turnover_eur","sports_winnings_eur","sports_ggr_eur","sports_bonus_issued_eur","sports_bonus_withdrawn_eur","sports_ngr_eur","casino_turnover_eur","casino_winnings_eur","casino_ggr_eur","casino_bonus_issued_eur","casino_bonus_withdrawn_eur","casino_ngr_eur","live_casino_turnover_eur","live_casino_winnings_eur","live_casino_ggr_eur","live_casino_ngr_eur","vip_bonus_eur","total_bonus_eur"
"2,023","2","1","NZ","  40 ","  4 ","  11 ","  84 ","  9 ","  2 ","  9 ","  2 ","  37,178 ","  33,760 ","  3,418 ","  4 ","  81 ","  83 ","  73 ","0","  61 ","  3,254 ","  6,987 ","  86 ","  6,901 ","  3,813 ","  3,174 ","  946 ","  753 ","  193 ","  4 ","0","  193 ","  29,673 ","  27,687 ","  1,986 ","  69 ","  83 ","  1,842 ","  6,557 ","  5,318 ","  1,239 ","  1,239 ","  20 ","  164 "
"2,023","2","1","PE","  80 ","  17 ","  29 ","  56 ","  26 ","  20 ","  8 ","  5 ","  11,688 ","  11,483 ","  379 ","0","  26 ","  125 ","  449 ","  6 ","0","  248 ","  2,081 ","  1,083 ","  998 ","  1,696 ","  385 ","  4,412 ","  4,393 ","  19 ","  368 ","  117 ","- 98 ","  1,898 ","  1,673 ","  225 ","  77 ","0","  219 ","  5,155 ","  5,021 ","  135 ","  135 ","0","  131 "
"2,023","2","1","PH","  7 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","2","1","SE","  148 ","  115 ","  958 ","  15,670 ","  776 ","  1 ","  930 ","  147 ","  16,446,198 ","  16,100,689 ","  345,510 ","  4,175 ","  9,961 ","  19,889 ","  18,216 ","  42,528 ","  880 ","  276,200 ","  912,152 ","  6,645 ","  905,507 ","  604,702 ","  307,450 ","  15 ","  3 ","  12 ","0","0","  12 ","  7,407,353 ","  7,078,807 ","  328,545 ","  17,496 ","  19,825 ","  265,312 ","  9,038,830 ","  9,021,878 ","  16,952 ","  16,952 ","  6,013 ","  69,310 "
"2,023","2","1","UA","  1 ","0","  0 ","  1 ","  0 ","  0 ","  0 ","0","  126 ","  95 ","  32 ","0","0","0","0","0","0","  32 ","  32 ","0","  32 ","0","  32 ","  48 ","  36 ","  12 ","0","0","  12 ","  79 ","  59 ","  20 ","0","0","  20 ","0","0","0","0","0","0"
"2,023","3","1","AM","  0 ","  0 ","  0 ","  1 ","  0 ","0","  0 ","0","  272 ","  202 ","  70 ","0","0","0","0","0","0","  70 ","  70 ","  18 ","  53 ","0","  70 ","0","0","0","0","0","0","  272 ","  202 ","  70 ","0","0","  70 ","0","0","0","0","0","0"
"2,023","3","1","AR","  3 ","  0 ","  1 ","  1 ","  1 ","  1 ","0","0","  197 ","0","  197 ","0","0","0","0","0","0","  197 ","  197 ","  4 ","  193 ","0","  197 ","  197 ","0","  197 ","0","0","  197 ","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","3","1","AT","0","0","  2 ","  35 ","  2 ","  2 ","0","0","  4,055 ","  2,368 ","  1,687 ","0","  18 ","0","0","  42 ","0","  1,645 ","  1,661 ","0","  1,661 ","  74 ","  1,587 ","  3,958 ","  2,271 ","  1,687 ","0","0","  1,687 ","0","0","0","0","0","- 42 ","0","0","0","0","0","  42 "
"2,023","3","1","BG","  4 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","3","1","BR","  2,477 ","  585 ","  768 ","  2,138 ","  696 ","  215 ","  593 ","  131 ","  645,054 ","  616,936 ","  28,603 ","  1,880 ","  991 ","  5,960 ","  9,456 ","  1,479 ","  36 ","  20,756 ","  74,445 ","  12,380 ","  62,065 ","  55,764 ","  18,681 ","  45,365 ","  40,424 ","  4,942 ","  2,478 ","  2,884 ","  2,058 ","  370,085 ","  350,440 ","  19,645 ","  6,821 ","  3,017 ","  15,114 ","  227,242 ","  223,226 ","  4,016 ","  4,016 ","  373 ","  7,847 "
"2,023","3","1","CA","  237 ","  59 ","  145 ","  792 ","  122 ","  82 ","  95 ","  12 ","  440,428 ","  404,052 ","  36,940 ","0","  1,514 ","  9,819 ","  12,550 ","  1,557 ","  66 ","  25,262 ","  68,831 ","  8,251 ","  60,579 ","  48,229 ","  20,601 ","  103,686 ","  88,657 ","  15,029 ","  1,380 ","  2,220 ","  12,809 ","  220,702 ","  201,263 ","  19,440 ","  11,016 ","  7,599 ","  10,218 ","  115,340 ","  112,869 ","  2,471 ","  2,471 ","  236 ","  11,677 "
"2,023","3","1","CH","0","0","  0 ","  23 ","  0 ","  0 ","0","0","  7,241 ","  6,643 ","  866 ","0","0","0","  86 ","0","0","  866 ","  1,900 ","0","  1,900 ","  1,050 ","  850 ","  7,241 ","  6,376 ","  866 ","  86 ","0","  866 ","0","0","0","0","0","0","0","0","0","0","0","0"
