"year","month","site_id","market","registrations","ftds","active_players","deposit_count","unique_depositors","sports_active_players","casino_active_players","live_casino_active_players","turnover_eur","winnings_eur","ggr_eur","withdrawal_adjustments_eur","deposit_adjustments_eur","bonus_withdrawn_eur","bonus_issued_eur","cashback_eur","goodwill_amount_eur","ngr_eur","deposits_eur","ftd_amount_eur","reload_amount_eur","withdrawals_eur","net_deposits_eur","sports_turnover_eur","sports_winnings_eur","sports_ggr_eur","sports_bonus_issued_eur","sports_bonus_withdrawn_eur","sports_ngr_eur","casino_turnover_eur","casino_winnings_eur","casino_ggr_eur","casino_bonus_issued_eur","casino_bonus_withdrawn_eur","casino_ngr_eur","live_casino_turnover_eur","live_casino_winnings_eur","live_casino_ggr_eur","live_casino_ngr_eur","vip_bonus_eur","total_bonus_eur"
"2,023","4","1","NZ","  30 ","  15 ","  22 ","  149 ","  21 ","  1 ","  20 ","  3 ","  59,339 ","  58,102 ","  1,237 ","0","  59 ","0","  284 ","0","  59 ","  1,178 ","  7,484 ","  353 ","  7,131 ","  6,045 ","  1,438 ","  538 ","  423 ","  115 ","  10 ","0","  115 ","  48,165 ","  46,806 ","  1,359 ","  274 ","0","  1,300 ","  10,626 ","  10,863 ","- 237 ","- 237 ","0","  59 "
"2,023","4","1","PE","  34 ","  12 ","  35 ","  149 ","  26 ","  28 ","  9 ","  4 ","  249,146 ","  240,654 ","  8,563 ","0","  7 ","  965 ","  343 ","  51 ","0","  7,547 ","  11,300 ","  511 ","  10,789 ","  2,844 ","  8,456 ","  4,822 ","  5,804 ","- 981 ","  233 ","  310 ","- 1,291 ","  96,138 ","  93,387 ","  2,751 ","  110 ","  655 ","  2,045 ","  148,001 ","  141,208 ","  6,793 ","  6,793 ","0","  1,016 "
"2,023","4","1","PG","  0 ","  0 ","  0 ","  1 ","  0 ","  0 ","  0 ","  0 ","  426 ","  384 ","  42 ","0","0","0","0","0","0","  42 ","  42 ","  4 ","  39 ","0","  42 ","  255 ","  273 ","- 19 ","0","0","- 19 ","  144 ","  84 ","  60 ","0","0","  60 ","  2 ","  1 ","  1 ","  1 ","0","0"
"2,023","4","1","RU","  1 ","  0 ","  0 ","  2 ","  0 ","  0 ","0","0","  375 ","  401 ","- 26 ","0","0","0","0","0","0","- 26 ","  319 ","  4 ","  315 ","  345 ","- 26 ","  366 ","  392 ","- 26 ","0","0","- 26 ","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","4","1","SE","  182 ","  142 ","  1,038 ","  16,797 ","  810 ","0","  1,011 ","  288 ","  9,192,332 ","  8,802,520 ","  389,812 ","  46 ","  7,450 ","  18,550 ","  27,104 ","  43,914 ","  779 ","  320,761 ","  978,587 ","  11,513 ","  967,073 ","  669,259 ","  309,327 ","0","0","0","0","0","0","  7,734,498 ","  7,387,089 ","  347,409 ","  20,962 ","  15,703 ","  287,014 ","  1,457,834 ","  1,415,431 ","  42,402 ","  42,402 ","  5,809 ","  69,051 "
"2,023","4","1","SZ","  7 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","4","1","TH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","4","1","UA","  1 ","0","  0 ","  2 ","  0 ","  0 ","  0 ","0","  246 ","  322 ","- 76 ","0","0","0","0","0","0","- 76 ","  42 ","0","  42 ","  117 ","- 76 ","  9 ","0","  9 ","0","0","  9 ","  237 ","  322 ","- 84 ","0","0","- 84 ","0","0","0","0","0","0"
"2,023","4","1","UY","  1 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","4","1","VE","  1 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","4","1","VN","  15 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2,023","4","1","ZA","  8 ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
